17:14:28.692751 config: drop-rate=0.20, max-delay=10ms, seed=1
17:53:34.488455 [queue=0] packet #1, 127.0.0.1:57364 -> 127.0.0.1:8080, sz=9 is delivered
17:53:34.488974 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:57364, sz=9 is dropped
17:53:37.474008 [queue=1] packet #1, 127.0.0.1:57364 -> 127.0.0.1:8080, sz=9 is delayed for 1ms
17:53:37.490490 [queue=0] packet #1, 127.0.0.1:57364 -> 127.0.0.1:8080, sz=9 is delivered
17:53:37.490490 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:57364, sz=9 is delayed for 4ms
17:53:37.506429 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:57364, sz=9 is delivered
17:53:37.506939 [queue=1] packet #2, 127.0.0.1:57365 -> 127.0.0.1:8080, sz=32 is delayed for 6.2ms
17:53:37.522322 [queue=0] packet #2, 127.0.0.1:57365 -> 127.0.0.1:8080, sz=32 is delivered
17:53:37.522836 [queue=1] packet #2, 127.0.0.1:8080 -> 127.0.0.1:57365, sz=0 is delayed for 1.5ms
17:53:37.554029 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:57365, sz=0 is delivered
17:53:37.554536 [queue=1] packet #3, 127.0.0.1:57365 -> 127.0.0.1:8080, sz=8 is delayed for 3.9ms
17:53:37.569827 [queue=0] packet #3, 127.0.0.1:57365 -> 127.0.0.1:8080, sz=8 is delivered
17:53:37.570355 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:57365, sz=5 is dropped
17:53:40.555889 [queue=0] packet #3, 127.0.0.1:57365 -> 127.0.0.1:8080, sz=8 is dropped
17:53:43.560506 [queue=0] packet #3, 127.0.0.1:57365 -> 127.0.0.1:8080, sz=8 is dropped
17:53:46.566924 [queue=1] packet #3, 127.0.0.1:57365 -> 127.0.0.1:8080, sz=8 is delayed for 2ms
17:53:46.583358 [queue=0] packet #3, 127.0.0.1:57365 -> 127.0.0.1:8080, sz=8 is delivered
17:53:46.583912 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:57365, sz=5 is delayed for 7ms
17:53:46.599270 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:57365, sz=5 is delivered
17:53:46.599270 [queue=1] packet #4, 127.0.0.1:57365 -> 127.0.0.1:8080, sz=2 is delayed for 4.7ms
17:53:46.615077 [queue=0] packet #4, 127.0.0.1:57365 -> 127.0.0.1:8080, sz=2 is delivered
17:57:24.224262 [queue=1] packet #1, 127.0.0.1:62363 -> 127.0.0.1:8080, sz=9 is delayed for 6.5ms
17:57:24.240202 [queue=0] packet #1, 127.0.0.1:62363 -> 127.0.0.1:8080, sz=9 is delivered
